restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table_booking,cuisines,area,address,cost_per_person,rating_category
Banana Beach Bar,Bar,3.7,1014,1300.0,1,1,"Continental, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,650.0,Good
Banana Leaf,Casual Dining,3.5,12,500.0,0,0,Andhra,Indiranagar,Domlur,250.0,Good
Banaras Sweet House,"Sweet Shop, Quick Bites",3.7,24,100.0,0,0,"Mithai, Fast Food",Lavelle Road,Majestic,50.0,Good
Banarasi Chat Centre,Quick Bites,3.2,6,150.0,0,0,Street Food,Kalyan Nagar,Kammanahalli,75.0,Good
Banarasi Tadka,Quick Bites,2.7,16,200.0,0,0,North Indian,Indiranagar,Jeevan Bhima Nagar,100.0,Poor
Banashankari Biriyani,Quick Bites,2.8,40,300.0,0,0,"Biryani, South Indian",Malleshwaram,Rajajinagar,150.0,Poor
Banashankari Donne Biriyani,Quick Bites,3.3,4,300.0,0,0,"South Indian, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,150.0,Good
Banashankari Nati Style,Quick Bites,3.6,8,300.0,1,0,South Indian,Bannerghatta Road,JP Nagar,150.0,Good
Banashankari Restaurant,Quick Bites,3.6,24,400.0,1,0,South Indian,New BEL Road,New BEL Road,200.0,Good
BanBay,Cafe,4.0,44,1100.0,0,0,"Cafe, Modern Indian, Pizza, Burger, Desserts",Church Street,Vasanth Nagar,550.0,Excellent
Banchharam,Quick Bites,3.9,65,200.0,0,0,"Street Food, Mithai",Indiranagar,Ulsoor,100.0,Good
Bang - The Ritz-Carlton,Lounge,4.2,477,3000.0,0,1,Finger Food,Lavelle Road,Residency Road,1500.0,Excellent
Bangali Babu Restaurant,Sweet Shop,3.2,4,250.0,0,0,"Mithai, Desserts, Fast Food","Byresandra,Tavarekere,Madiwala",BTM,125.0,Good
Bangaliana,Casual Dining,3.0,61,600.0,1,0,Bengali,Electronic City,Electronic City,300.0,Good
Bangalir Rannaghar,Quick Bites,2.9,58,250.0,0,0,"Bengali, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,125.0,Poor
Bangalore Agarwal Bhavan,Quick Bites,3.0,5,500.0,0,0,"Mithai, Street Food",Brookefield,Whitefield,250.0,Good
BANGALORE BOX,"Casual Dining, Bar",4.1,612,1500.0,1,1,"Asian, Continental, Finger Food",Bannerghatta Road,BTM,750.0,Excellent
Bangalore Brew Works,"Microbrewery, Lounge",4.2,2212,1700.0,0,1,"Continental, Italian",Brigade Road,Residency Road,850.0,Excellent
Bangalore Bytes,Quick Bites,3.5,121,300.0,1,0,"Fast Food, South Indian, Biryani",Brigade Road,Brigade Road,150.0,Good
Bangalore Cafe,Quick Bites,3.7,197,400.0,1,0,"South Indian, Fast Food","Byresandra,Tavarekere,Madiwala",HSR,200.0,Good
Bangalore Cakes,Bakery,2.9,17,250.0,1,0,Bakery,Electronic City,Electronic City,125.0,Poor
Bangalore Donne Biriyani,Quick Bites,3.2,4,300.0,1,0,"South Indian, Biryani",Banashankari,Kumaraswamy Layout,150.0,Good
Bangalore Durbar Fast Food,"Takeaway, Delivery",3.6,18,600.0,1,0,"North Indian, South Indian, Chinese, Kerala",Indiranagar,Thippasandra,300.0,Good
Bangalore Express,"Takeaway, Delivery",2.8,40,300.0,0,0,"Bengali, Chinese, Seafood",Indiranagar,Thippasandra,150.0,Poor
Bangalore Food Cafe,Quick Bites,2.8,40,300.0,0,0,"North Indian, South Indian, Chinese, Fast Food",Brookefield,Brookefield,150.0,Poor
Bangalore Grill House,Quick Bites,3.2,6,300.0,0,0,"Arabian, BBQ, Mexican",Old Airport Road,Thippasandra,150.0,Good
Bangalore Mandarin,Casual Dining,4.2,764,1100.0,1,0,"Chinese, Seafood",Brookefield,Whitefield,550.0,Excellent
Bangalore Masala House,Cafe,4.1,257,500.0,1,0,"Cafe, Continental, Fast Food, Pizza, Italian, Burger, Chinese, Desserts",Lavelle Road,Vasanth Nagar,250.0,Excellent
Bangalore Pantry,Quick Bites,2.8,40,400.0,1,0,"Chinese, North Indian, Biryani, Arabian",Bannerghatta Road,Bannerghatta Road,200.0,Poor
Bangalore Pub Exchange,"Pub, Casual Dining",4.1,207,1000.0,0,1,"Continental, Finger Food, Pizza, North Indian",Indiranagar,MG Road,500.0,Excellent
Bangalore Shadi Biriyani,Quick Bites,3.5,57,150.0,1,0,"Chinese, North Indian",Brigade Road,Vasanth Nagar,75.0,Good
Bangalore Star Biriyani,Quick Bites,3.4,7,300.0,0,0,"Biryani, Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM,150.0,Good
Bangalore Vibes,Quick Bites,3.2,4,300.0,1,0,"North Indian, Chinese",Kalyan Nagar,Hennur,150.0,Good
Bangarpet Chat Express,Quick Bites,3.3,6,100.0,1,0,"Street Food, Fast Food",Banashankari,Basavanagudi,50.0,Good
Bangarpet Chats,Quick Bites,2.8,40,80.0,0,0,Street Food,Kalyan Nagar,Kammanahalli,40.0,Poor
Bangarpet Chats Adda,Quick Bites,2.8,40,200.0,1,0,"Street Food, Sandwich, Beverages",Electronic City,Electronic City,100.0,Poor
Bangarpet Chats Corner,Quick Bites,3.3,7,150.0,0,0,Street Food,Malleshwaram,Rajajinagar,75.0,Good
Banjara Melting Pot,Casual Dining,4.2,474,1700.0,1,1,"North Indian, Chinese, Seafood",Brigade Road,Cunningham Road,850.0,Excellent
Bansuri Sweets,Quick Bites,3.8,110,200.0,0,0,"Street Food, North Indian","Byresandra,Tavarekere,Madiwala",BTM,100.0,Good
Bao & Grills,Food Court,2.8,40,300.0,0,0,"Chinese, Asian",Bannerghatta Road,Bannerghatta Road,150.0,Poor
Bao and Rolls,Quick Bites,3.6,19,250.0,0,0,"Rolls, Kebab, Fast Food",Bannerghatta Road,Bannerghatta Road,125.0,Good
BAR BAR,"Bar, Casual Dining",4.1,1003,1500.0,0,1,"Continental, North Indian, Italian",Whitefield,Whitefield,750.0,Excellent
Bar UNO - JW Marriott Bengaluru,Lounge,3.9,72,2500.0,0,0,Spanish,Brigade Road,Lavelle Road,1250.0,Good
Barbecoa,Casual Dining,4.3,1303,1000.0,0,0,"North Indian, Continental, Chettinad, Andhra, Bengali",Bellandur,Marathahalli,500.0,Excellent
Barbecue by Punjab Grill,Casual Dining,4.7,1316,1300.0,0,1,BBQ,Malleshwaram,Malleshwaram,650.0,Excellent
Barbecued - By The Orchard,Casual Dining,4.3,592,1200.0,0,1,North Indian,Malleshwaram,Sadashiv Nagar,600.0,Excellent
